Causa,Fecha_Evento,Fenomeno,idEvento,idFenomeno_1,idFenomeno,idLocalidad,idMunicipio,idRegion,Latitud,Longitud,Nombre,Region,Municipio,Localidad
VERIFICACIONES,MARZO 15. 2016,ACCIONES DE PREVENCION,73.465,52,8,20.119,115,1,16.75,-93.1,VALORACION DE RIESGO DE VIVIENDA POR INUNDACION EN TEMPORADA DE LLUVIA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,MARZO 31. 2016,ACCIONES DE PREVENCION,73.539,52,8,1.598,69,10,14.82,-92.41,VERIFICACION DE UN ARBOL,SOCONUSCO,MAZATAN,EMILIANO ZAPATA (LAS VARILLAS)
INCENDIO FORESTAL,ABRIL 8. 2016,QUIMICOS,74.083,12,2,14.292,74,12,16.78,-91.62,ENTREGA DE ERRAMIENTAS PARA LA PREVENCION DE INCENDIOS FORESTALES,SELVA LACANDONA,OCOSINGO,NUEVO SAN JACINTO
ENCHARCAMIENTO,ABRIL 6. 2016,HIDROMETEOROLOGICOS,74.253,69,1,20.119,115,1,16.75,-93.1,VALORACION DE RIESGO DE CASA HABITACION. FRACC. SAN ISIDRO BUENAVISTA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,ABRIL 22. 2016,HIDROMETEOROLOGICOS,75.167,1,1,20.076,72,11,15.37,-92.25,ENCHARCAMIENTO DE VIVIENDAS,SIERRA MARISCAL,MOTOZINTLA,CABECERA MUNICIPAL
VERIFICACIONES,MAYO 4. 2016,ACCIONES DE PREVENCION,75.985,52,8,20.119,115,1,16.75,-93.1,VERIFICACION DE ENCHARCAMIENTO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,MAYO 13. 2016,HIDROMETEOROLOGICOS,76.562,1,1,20.084,80,13,17.5,-91.95,PEQUENOS ENCHARCAMIENTO DE AGUA,MAYA,PALENQUE,CABECERA MUNICIPAL
CONTINGENCIA AMBIENTAL,MAYO 10. 2016,SANITARIOS,76.874,26,5,20.119,115,1,16.75,-93.1,VALORACION DE RIESGO: CANAL DE AGUAS PLUVIALES EN MAL ESTADO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,MAYO 19. 2016,HIDROMETEOROLOGICOS,76.958,80,1,227,93,5,16.73,-92.64,AFECTACIONES POR LLUVIAS,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,SAN CRISTOBAL DE LAS CASAS
ENCHARCAMIENTO,MAYO 20. 2016,HIDROMETEOROLOGICOS,76.993,69,1,251,115,1,16.8,-93.1,VIVIENDA ENCHARCADA,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
VERIFICACIONES,MAYO 22. 2016,ACCIONES DE PREVENCION,77.062,52,8,20.168,69,10,14.8,-92.51,ALERTAMIENTO DE INUNDACION,SOCONUSCO,MAZATAN,BARRA SAN SIMON
VERIFICACIONES,MAYO 23. 2016,ACCIONES DE PREVENCION,77.098,52,8,20.119,115,1,16.75,-93.11,AFECTACIONES POR LLUVIAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,MAYO 27. 2016,HIDROMETEOROLOGICOS,77.39,80,1,251,115,1,16.75,-93.17,CASA ENCHARCADA (TERAN),METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,MAYO 29. 2016,HIDROMETEOROLOGICOS,77.458,1,1,166,42,1,16.7,-93.01,AFECTACIONES POR LLUVIAS Y VIENTOS,METROPOLITANA,CHIAPA DE CORZO,CHIAPA DE CORZO
VERIFICACIONES,MAYO 30. 2016,ACCIONES DE PREVENCION,77.562,52,8,6.881,69,10,14.79,-92.5,VERIFICACON DE VIVIENDA AFECTADA POR FUERTE OLEAJE EN EJIDO SAN SIMON EL AMATAL,SOCONUSCO,MAZATAN,SAN SIMON
PRECIPITACION,MAYO 30. 2016,HIDROMETEOROLOGICOS,77.585,1,1,20.108,104,10,14.89,-92.24,ENCHARCAMIENTO,SOCONUSCO,TAPACHULA,CABECERA MUNICIPAL
PRECIPITACION,MAYO 30. 2016,HIDROMETEOROLOGICOS,77.588,1,1,20.108,104,10,14.9,-92.25,ENCHARCAMIENTO,SOCONUSCO,TAPACHULA,CABECERA MUNICIPAL
PRECIPITACION,MAYO 31. 2016,HIDROMETEOROLOGICOS,77.688,1,1,20.038,34,15,16.24,-92.12,FUERTES LLUVIAS,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,JUNIO 22. 2016,HIDROMETEOROLOGICOS,77.721,80,1,20.119,115,1,16.8,-93.1,AFECTACION DE VIVIENDA: COL. LAS GRANJAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
ENCHARCAMIENTO,MAYO 23. 2016,HIDROMETEOROLOGICOS,77.732,69,1,20.119,115,1,16.76,-93.1,VALORACION DE RIESGO: COL. LAS DELICIAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 2. 2016,HIDROMETEOROLOGICOS,77.756,1,1,20.119,115,1,16.75,-93.11,AFECTACIONES POR LLUVIAS Y VIENTO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 3. 2016,HIDROMETEOROLOGICOS,77.789,1,1,20.119,115,1,16.77,-93.12,AFECTACIONES POR LLUVIAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 3. 2016,HIDROMETEOROLOGICOS,77.79,1,1,20.119,115,1,16.75,-93.1,AFECTACIONES POR LLUVIAS PRELIMINAR,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 4. 2016,HIDROMETEOROLOGICOS,77.805,1,1,20.119,115,1,16.76,-93.16,INUNDACION DE VIVIENDA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 4. 2016,ACCIONES DE PREVENCION,77.834,52,8,20.097,93,5,16.7,-92.63,COLAPSO DE BARDA,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 6. 2016,HIDROMETEOROLOGICOS,77.914,4,1,20.119,115,1,16.73,-93.17,DEPRESION TROPICAL 1E,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
ONDA TROPICAL,JUNIO 6. 2016,HIDROMETEOROLOGICOS,77.919,3,1,20.119,115,1,16.77,-93.12,TRABAJOS DE AFECTACIONES POR LLUVIA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
TORMENTA TROPICAL,JUNIO 6. 2016,HIDROMETEOROLOGICOS,77.967,5,1,8.384,24,9,16.14,-94.1,RECORRIDOS Y MONITOREO DE RIOS Y PESQUERIAS DEBIDO A LA TORMENTA 1 E,ISTMO-COSTA,ARRIAGA,LA GLORIA
TORMENTA TROPICAL,JUNIO 6. 2016,HIDROMETEOROLOGICOS,77.999,5,1,220,84,9,15.68,-93.21,TORMENTA TROPICAL 1-E,ISTMO-COSTA,PIJIJIAPAN,PIJIJIAPAN
PRECIPITACION,JUNIO 8. 2016,HIDROMETEOROLOGICOS,78.084,1,1,20.132,128,12,16.51,-90.64,AFECTACION EN CABECERA MPAL. POR LLUVIA INTENSA POR REMANENTES DE LA TORMENTA TROPICAL E-1,SELVA LACANDONA,BENEMERITO DE LAS AMERICAS,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 10. 2016,ACCIONES DE PREVENCION,78.164,52,8,20.117,113,15,16.13,-92.06,VERIFICACION DE ALCANTARILLADO,MESETA COMITECA TOJOLABAL,LA TRINITARIA,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 11. 2016,HIDROMETEOROLOGICOS,78.186,1,1,20.045,41,5,16.89,-92.62,AFECTACIONES POR LLUVIAS Y VIENTOS,ALTOS TSOTSIL-TSELTAL,CHENALHO,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 12. 2016,ACCIONES DE PREVENCION,78.256,52,8,20.119,115,1,16.75,-93.12,AFECTACIONES POR LLUVIAS.,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 13. 2016,ACCIONES DE PREVENCION,78.298,52,8,20.119,115,1,16.76,-93.12,VERIICACION DE VIVIENDA ENCHARCADA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 16. 2016,HIDROMETEOROLOGICOS,78.474,1,1,20.119,115,1,16.74,-93.18,INUNDACION DE DOMICILIO. (COL. TIERRA NEGRA).,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JUNIO 16. 2016,HIDROMETEOROLOGICOS,78.478,1,1,20.053,49,11,15.66,-92.14,AFECTACION A VIVIENDA,SIERRA MARISCAL,FRONTERA COMALAPA,CABECERA MUNICIPAL
DESLIZAMIENTO,JUNIO 16. 2016,GEOLOGICOS,78.529,22,3,20.076,72,11,15.36,-92.25,AFECTACION A VIVIENDA,SIERRA MARISCAL,MOTOZINTLA,CABECERA MUNICIPAL
DEPRESION TROPICAL,JUNIO 18. 2016,HIDROMETEOROLOGICOS,78.607,4,1,20.119,115,1,16.74,-93.17,"TORMENTA TROPICAL ""DANIELLE"" DEL GOLFO DE MEXICO",METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 19. 2016,ACCIONES DE PREVENCION,78.65,52,8,2.372,18,10,15.15,-92.72,VERIFICACION DE VENTANAS DE RIO,SOCONUSCO,ACAPETAHUA,EMBARCADERO RIO ARRIBA
VERIFICACIONES,JUNIO 19. 2016,ACCIONES DE PREVENCION,78.662,52,8,245,109,5,16.55,-92.48,VERIFICACION DE TERRENO,ALTOS TSOTSIL-TSELTAL,TEOPISCA,TEOPISCA
VERIFICACIONES,JUNIO 16. 2016,ACCIONES DE PREVENCION,78.68,52,8,20.032,28,7,17,-92.89,VERIFICACION DE VIVIENDAS,DE LOS BOSQUES,BOCHIL,CABECERA MUNICIPAL
EFECTO DE MAR DE FONDO,JUNIO 20. 2016,GEOLOGICOS,78.701,179,3,20.119,115,1,16.74,-93.17,EFECTO DE MAR DE FONDO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 24. 2016,ACCIONES DE PREVENCION,78.956,52,8,20.119,115,1,16.75,-93.12,AFECTACIONES POR LLUVIA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 26. 2016,ACCIONES DE PREVENCION,79.088,52,8,20.119,115,1,16.73,-93.18,VERIFICACION DE VIVIENDA ENCHARCADA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 26. 2016,ACCIONES DE PREVENCION,79.119,52,8,20.119,115,1,16.75,-93.11,AFECTACIONES POR LLUVIA 27/06/2016,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JULIO 3. 2016,ACCIONES DE PREVENCION,79.585,52,8,20.119,115,1,16.77,-93.12,AFECTACIONES POR LLUVIAS (TUXTLA GUTIERREZ),METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JULIO 3. 2016,HIDROMETEOROLOGICOS,79.59,1,1,251,115,1,16.74,-93.14,AFECTACIONES POR LLUVIAS,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,JULIO 4. 2016,HIDROMETEOROLOGICOS,79.638,1,1,20.09,86,10,15.21,-92.58,INUNDACION EN VIVIENDAS,SOCONUSCO,VILLA COMALTITLAN,CABECERA MUNICIPAL
DESLIZAMIENTO,JUNIO 15. 2016,GEOLOGICOS,79.652,22,3,20.119,115,1,16.77,-93.12,AFECTACION DE CASA HABITACION: COL. SAN ISIDRO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JULIO 8. 2016,ACCIONES DE PREVENCION,80.064,52,8,251,115,1,16.74,-93.08,CASA ENCHARCADA Y BARDA COLAPSADA.,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
AFECTACIONES POR LLUVIAS,JUNIO 30. 2016,HIDROMETEOROLOGICOS,80.148,80,1,20.119,115,1,16.74,-93.11,VALORACION DE RIESGO: COL. MALDONADO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
VERIFICACIONES,JUNIO 30. 2016,ACCIONES DE PREVENCION,80.154,52,8,20.119,115,1,16.78,-93.1,VALORACION DE RIESGO: COL. NUEVA ESTRELLA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,JUNIO 30. 2016,HIDROMETEOROLOGICOS,80.156,80,1,20.119,115,1,16.79,-93.11,AFECTACION DE VIVIENDA: COL. SHANKA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
AFECTACIONES POR LLUVIAS,JULIO 3. 2016,HIDROMETEOROLOGICOS,80.161,80,1,20.119,115,1,16.75,-93.08,VALORACION DE RIESGO: COL. EL RETIRO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
CONTINGENCIA AMBIENTAL,JUNIO 30. 2016,SANITARIOS,80.38,26,5,20.119,115,1,16.79,-93.1,VALORACION DE RIESGO: COL. AGRIPINO GUTIERREZ Y LAJAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
BAJA PRESION,JULIO 13. 2016,HIDROMETEOROLOGICOS,80.393,2,1,20.036,32,2,16.66,-93.72,AFECTACIONES EN CINTALAPA,VALLES ZOQUE,CINTALAPA,CABECERA MUNICIPAL
VERIFICACIONES,JULIO 13. 2016,ACCIONES DE PREVENCION,80.404,52,8,20.108,104,10,14.9,-92.27,RECORRIDO EN EL EJIDO GENARO VAZQUEZ,SOCONUSCO,TAPACHULA,CABECERA MUNICIPAL
VERIFICACIONES,JULIO 16. 2016,ACCIONES DE PREVENCION,80.631,52,8,251,115,1,16.73,-93.1,ENCHARCAMIENTO A VIVIENDA COL. 2 DE FEBRERO,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,JULIO 19. 2016,HIDROMETEOROLOGICOS,80.892,1,1,6.431,52,10,15.05,-92.45,ENCHARCAMIENTO DE VIVIENDAS EN HUEHUETAN,SOCONUSCO,HUEHUETAN,CANTON SAN LUIS
ONDA TROPICAL,JULIO 20. 2016,HIDROMETEOROLOGICOS,80.945,3,1,20.084,80,13,17.54,-91.99,AFECTACION POR LA LLUVIA,MAYA,PALENQUE,CABECERA MUNICIPAL
TORMENTA TROPICAL,JULIO 21. 2016,HIDROMETEOROLOGICOS,80.972,5,1,251,115,1,16.73,-93.17,TORMENTA TROPICAL FRANK,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,JULIO 27. 2016,HIDROMETEOROLOGICOS,81.384,1,1,20.119,115,1,16.75,-93.13,RECORRIDO POR LLUVIAS,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
PRECIPITACION,JULIO 27. 2016,HIDROMETEOROLOGICOS,81.386,1,1,20.119,115,1,16.73,-93.08,MONITOREO POR LLUVIAS (TUXTLA GUTIERREZ),METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
EFECTO DE MAR DE FONDO,JULIO 28. 2016,GEOLOGICOS,81.444,179,3,251,115,1,16.75,-93.1,MAR DE FONDO,METROPOLITANA,TUXTLA GUTIERREZ,TUXTLA GUTIERREZ
PRECIPITACION,JULIO 29. 2016,HIDROMETEOROLOGICOS,81.523,1,1,20.119,115,1,16.75,-93.1,VERIFICACION DE ENCHARCAMIENTO,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
DESLIZAMIENTO,JULIO 13. 2016,GEOLOGICOS,81.636,22,3,20.119,115,1,16.74,-93.14,VALORACION DE RIESGO: COLONIA BOSQUES DEL SUR,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
FRENTE FRIO,SEPTIEMBRE 28. 2020,HIDROMETEOROLOGICOS,190.82,61,1,20.087,83,8,17.51,-93.12,ALERTAMIENTO PREVENTIVO POR EL INGRESO DEL FRENTE FRIO NO. 4,NORTE,PICHUCALCO,CABECERA MUNICIPAL
VERIFICACIONES,AGOSTO 17. 2020,ACCIONES DE PREVENCION,187.427,52,8,20.127,123,14,17.17,-92.33,AMPLIACION DE DREN PLUVIAL YAJALON,TULIJA TSELTAL-CHOL,YAJALON,CABECERA MUNICIPAL
DESCONOCIDO,ABRIL 2. 2020,QUIMICOS,178.315,16,2,20.091,87,7,17.15,-92.89,APOYO DE INUNDACION EN EL BARRIO SAN ANASTACIO 3 DE ABRIL DEL 2020,DE LOS BOSQUES,PUEBLO NUEVO SOLISTAHUACAN,CABECERA MUNICIPAL
VERIFICACIONES,AGOSTO 19. 2020,ACCIONES DE PREVENCION,187.605,52,8,146,17,4,16.56,-92.79,APOYO PARA SACAR AGUA DE DOMICILIO,DE LOS LLANOS,ACALA,ACALA
EVENTOS MASIVOS,DICIEMBRE 20. 2020,SOCIOORGANIZATIVOS,197.325,24,4,20.069,65,13,17.53,-91.72,APOYOS ECONOMICOS DE PARTE DEL GOBIENO FEDERAL PARA DAMNIFICADOS POR INUNDACION,MAYA,LA LIBERTAD,CABECERA MUNICIPAL
VERIFICACIONES,NOVIEMBRE 14. 2020,ACCIONES DE PREVENCION,194.646,52,8,20.084,80,13,17.51,-91.98,ATENCION POR LLUVIAS FUERTES EN BARRIOS Y COLONIAS DEL MUNICIPIO DE PALENQUE,MAYA,PALENQUE,CABECERA MUNICIPAL
BAJA PRESION,SEPTIEMBRE 19. 2020,HIDROMETEOROLOGICOS,190.074,2,1,20.044,40,8,17.34,-93.13,BAJA PRESION DESBORDAMIENTO DE ARROYO BARRIO LA ASUNCION CHAPULTENANGO,NORTE,CHAPULTENANGO,CABECERA MUNICIPAL
PRECIPITACION,AGOSTO 29. 2020,HIDROMETEOROLOGICOS,188.411,1,1,20.097,93,5,16.73,-92.59,BARRIOS Y COLONIAS QUE TUVIERON PROBLEMAS DE ENCHARCAMIENTOS,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
TORMENTA TROPICAL,JUNIO 2. 2020,HIDROMETEOROLOGICOS,182.173,5,1,166,42,1,16.71,-92.99,CASA INUNDADA COLONIA JOSE MARIA MORELOS Y PAVON CALLE JUAN SABINES,METROPOLITANA,CHIAPA DE CORZO,CHIAPA DE CORZO
VERIFICACIONES,NOVIEMBRE 1. 2020,ACCIONES DE PREVENCION,193.57,52,8,20.119,115,1,16.77,-93.09,CASA INUNDADA INFONAVIT GRIJALVA,METROPOLITANA,TUXTLA GUTIERREZ,CABECERA MUNICIPAL
SERVICIOS GENERALES,NOVIEMBRE 26. 2020,SERVICIOS ADMINISTRATIVOS,195.675,155,9,20.087,83,8,17.51,-93.11,CENSO DE DAMNIFICADOS POR LLUVIAS REGION VIII NORTE,NORTE,PICHUCALCO,CABECERA MUNICIPAL
DEPRESION TROPICAL,NOVIEMBRE 4. 2020,HIDROMETEOROLOGICOS,194.159,4,1,20.096,92,14,17.56,-92.33,"CONTINUIDAD DEL FOLIO 193813 POR AFECTACIONES DE INUNDACION CAUSADAS POR EL FRENTE FRIO #11 Y LA DEPRESION TROPICAL ""ETA""",TULIJA TSELTAL-CHOL,SALTO DE AGUA,CABECERA MUNICIPAL
INUNDACION PLUVIAL,NOVIEMBRE 4. 2020,HIDROMETEOROLOGICOS,194.16,68,1,20.096,92,14,17.56,-92.33,"CONTINUIDAD DEL FOLIO 193813 POR AFECTACIONES DE INUNDACION CAUSADAS POR EL FRENTE FRIO #11 Y LA DEPRESION TROPICAL ""ETA""",TULIJA TSELTAL-CHOL,SALTO DE AGUA,CABECERA MUNICIPAL
BAJA PRESION,JULIO 9. 2020,HIDROMETEOROLOGICOS,184.782,2,1,6.431,52,10,15.02,-92.4,DANOS EN LAS DIFERENTES COMUNIDADES DE HUEHUETAN POR LAS FUERTES LLUVIAS,SOCONUSCO,HUEHUETAN,CANTON SAN LUIS
PRECIPITACION,NOVIEMBRE 2. 2020,HIDROMETEOROLOGICOS,193.608,1,1,20.203,20,8,17.37,-92.82,DAIO A LA INFRAESTRUTURA CARRETERA POR EL FF#11,NORTE,AMATAN,EL NARANJO 1A SECCION
FRENTE FRIO,NOVIEMBRE 6. 2020,HIDROMETEOROLOGICOS,193.951,61,1,3.898,106,7,17.26,-93.02,DAIOS CAUSADOS POR EL FRENTE FRIO NUMERO 11 Y TORMENTA TROPICAL ETA,DE LOS BOSQUES,TAPILULA,PORTACELIS PARTE MEDIA
BAJA PRESION,AGOSTO 21. 2020,HIDROMETEOROLOGICOS,187.819,2,1,7.571,66,9,15.37,-92.9,DEBORDE DE RIO SAN LUIS EN EJIDO ABRAHAM GONZALEZ,ISTMO-COSTA,MAPASTEPEC,ABRAHAM GONZALEZ
DEPRESION TROPICAL,SEPTIEMBRE 18. 2020,HIDROMETEOROLOGICOS,190.048,4,1,3.211,110,14,17.23,-92.42,DEPRESION TROPICAL 22 TILA,TULIJA TSELTAL-CHOL,TILA,PETALCINGO
VERIFICACIONES,AGOSTO 16. 2020,ACCIONES DE PREVENCION,187.375,52,8,252,117,10,15.13,-92.43,DERRUMBE,SOCONUSCO,TUZANTAN,TUZANTAN
HURACAN,JUNIO 3. 2020,HIDROMETEOROLOGICOS,182.247,6,1,20.032,28,7,16.99,-92.89,DESALSOLVE DE ALCANTARILLA,DE LOS BOSQUES,BOCHIL,CABECERA MUNICIPAL
ENCHARCAMIENTO,MAYO 20. 2020,HIDROMETEOROLOGICOS,181.143,69,1,20.059,55,10,15.13,-92.47,ENCHARCAMIENTO EN COL. JIQUILPAN,SOCONUSCO,HUIXTLA,CABECERA MUNICIPAL
ENCHARCAMIENTO,SEPTIEMBRE 13. 2020,HIDROMETEOROLOGICOS,189.672,69,1,174,34,15,16.24,-92.13,ENCHARCAMIENTO EN DOMICILIO,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,COMITAN DE DOMINGUEZ
ENCHARCAMIENTO,SEPTIEMBRE 24. 2020,HIDROMETEOROLOGICOS,190.722,69,1,174,34,15,16.26,-92.13,ENCHARCAMIENTO EN DOMICILIO,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,COMITAN DE DOMINGUEZ
ENCHARCAMIENTO,SEPTIEMBRE 15. 2020,HIDROMETEOROLOGICOS,189.781,69,1,465,113,15,16.09,-91.84,ENCHARCAMIENTO EN VIVIENDAS,MESETA COMITECA TOJOLABAL,LA TRINITARIA,ALVARO OBREGON
INUNDACION FLUVIAL,SEPTIEMBRE 7. 2020,HIDROMETEOROLOGICOS,189.12,67,1,20.043,39,5,16.65,-92.25,ENCHARCAMIENTOS,ALTOS TSOTSIL-TSELTAL,CHANAL,CABECERA MUNICIPAL
PRECIPITACION,SEPTIEMBRE 24. 2020,HIDROMETEOROLOGICOS,190.555,1,1,20.042,38,5,16.78,-92.69,ENCHARCAMIENTOS,ALTOS TSOTSIL-TSELTAL,CHAMULA,CABECERA MUNICIPAL
PRECIPITACION,OCTUBRE 29. 2020,HIDROMETEOROLOGICOS,193.228,1,1,20.093,89,8,17.87,-93.15,ENCHARCAMIENTOS E INUNDACION EN COLONIAS POPULARES DE REFORMA,NORTE,REFORMA,CABECERA MUNICIPAL
ENCHARCAMIENTO,OCTUBRE 1. 2020,HIDROMETEOROLOGICOS,191.337,69,1,174,34,15,16.24,-92.14,ENCHARCAMIENTOS EN DOMICILIOS,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,COMITAN DE DOMINGUEZ
AFECTACIONES POR LLUVIAS,AGOSTO 20. 2020,HIDROMETEOROLOGICOS,187.712,80,1,174,34,15,16.24,-92.13,ENCHARCAMIENTOS POR FUERTES LLUVIAS,MESETA COMITECA TOJOLABAL,COMITAN DE DOMINGUEZ,COMITAN DE DOMINGUEZ
ENCHARCAMIENTO,SEPTIEMBRE 24. 2020,HIDROMETEOROLOGICOS,190.489,69,1,210,74,12,16.94,-92.1,ENCHARCAMIENTOS POR FUERTES LLUVIAS EN LA COMUNIDAD DE SANTO DOMINGO,SELVA LACANDONA,OCOSINGO,OCOSINGO
PRECIPITACION,SEPTIEMBRE 30. 2020,HIDROMETEOROLOGICOS,191.013,1,1,223,89,8,17.86,-93.16,ENCHARCAMIENTOS POR LLUVIAS REFORMA,NORTE,REFORMA,REFORMA
ENCHARCAMIENTO,MAYO 4. 2020,HIDROMETEOROLOGICOS,179.808,69,1,20.097,93,5,16.74,-92.65,ENCHARCAMIENTOS. INUNDACIONES.,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
EVENTOS MASIVOS,DICIEMBRE 17. 2020,SOCIOORGANIZATIVOS,197.079,24,4,20.097,93,5,16.72,-92.64,ENTREGA DE APOYO BIENESTAR A PERSONAS AFECTADAS POR LA S LLUVIAS PASADAS.,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
DEPRESION TROPICAL,NOVIEMBRE 24. 2020,HIDROMETEOROLOGICOS,195.772,4,1,20.084,80,13,17.5,-91.99,ENTREGA DE AYUDA HUMANITARIA A COMUNIDADES AFECTADAS,MAYA,PALENQUE,CABECERA MUNICIPAL
TORMENTA TROPICAL,NOVIEMBRE 21. 2020,HIDROMETEOROLOGICOS,195.159,5,1,20.097,93,5,16.74,-92.64,ENTREGA DE AYUDA HUMANITARIA A PERSONAS AFECTADAS POR LAS INUNDACIONES,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
PRECIPITACION,AGOSTO 4. 2020,HIDROMETEOROLOGICOS,186.5,1,1,20.097,93,5,16.73,-92.65,ENTREGA DE DESPENSAS A PERSONAS AFECTADAS POR LAS FUERTES LLUVIAS,ALTOS TSOTSIL-TSELTAL,SAN CRISTOBAL DE LAS CASAS,CABECERA MUNICIPAL
DEPRESION TROPICAL,NOVIEMBRE 17. 2020,HIDROMETEOROLOGICOS,195.033,4,1,1.388,89,8,17.81,-93.22,ENTREGA DE INSUMOS DE AYUDA HUMANITARIA FF11,NORTE,REFORMA,SAN MIGUEL 1RA. SECCION
DESASOLVES Y CIERRE DE VENTANAS,OCTUBRE 13. 2020,ACCIONES DE PREVENCION,192.124,173,8,219,83,8,17.55,-93,EXTRACCION DE BASURA Y MATERIAL ORGANICO DEL ARROYO ALCOSER RANCHERIA EL AZUFRE 2DA SECCION,NORTE,PICHUCALCO,PICHUCALCO
TORMENTA TROPICAL,JUNIO 2. 2020,HIDROMETEOROLOGICOS,182.152,5,1,20.094,90,15,16.37,-92.38,FECHAS 03.04.05 FUERTES LLUVIAS Y AFECTACIONES OCASIONADAS POR TORMENTA TROPICAL CRISTOBAL,MESETA COMITECA TOJOLABAL,LAS ROSAS,CABECERA MUNICIPAL
REUNIONES,SEPTIEMBRE 28. 2020,ACCIONES DE PREVENCION,190.826,64,8,20.087,83,8,17.51,-93.1,FF#4 CONSEJO REGIONAL ZONA NORTE,NORTE,PICHUCALCO,CABECERA MUNICIPAL
