Ranking,Localidad,Poblacion_Total,Tipo_Carretera,Num_Escuelas,Tiene_Tienda_DICONSA,VPH_AGUADV,VPH_DRENAJ,VPH_C_ELEC,VPH_INTER,TVIVHAB,Factor_DICONSA,Factor_Acceso_Vial,Factor_Escuelas,Factor_Servicios,Factor_Poblacion,Peso_Posicional
68,CAMAMBE  ,174,1,0,0,25,13,26,0,26,0,0.333333333,0,0.615384615,0.009106134,0.290793056
69,EL CARMEN  ,806,0,1,0,203,202,205,15,211,0,0,0.166666667,0.740521327,0.042181285,0.288226198
70,NUEVA ALIANZA  ,173,0,1,0,47,47,47,4,47,0,0,0.166666667,0.771276596,0.009053799,0.287505999
71,ICUL (PLAN CHIAPAS)  ,42,0,1,0,10,10,10,0,10,0,0,0.166666667,0.75,0.002198032,0.278965082
72,SAN ALBERTO  ,9,1,0,0,2,3,4,0,4,0,0.333333333,0,0.5625,0.000471007,0.272115812
73,RANCHO QUEMADO  ,119,0,1,0,23,23,20,0,23,0,0,0.166666667,0.717391304,0.006227758,0.270288577
74,LA LAGUNA SECA  ,45,1,0,0,7,1,7,0,7,0,0.333333333,0,0.535714286,0.002355035,0.264555721
75,NUMANCIA  ,22,1,0,0,0,4,4,0,4,0,0.333333333,0,0.5,0.00115135,0.253347515
76,TOCHAMAN  ,22,1,0,0,3,0,3,1,4,0,0.333333333,0,0.4375,0.00115135,0.234372668
77,LA LAGUNA  ,34,1,0,0,6,3,1,0,6,0,0.333333333,0,0.416666667,0.001779359,0.228238381
78,LA PRIMAVERA ,7,1,2,0,0,0,0,0,2,0,0.333333333,0.333333333,0,0.000366339,0.202509594
79,LA VENTANA  ,37,1,0,0,8,1,1,0,8,0,0.333333333,0,0.3125,0.001936362,0.1966613
80,LAS PULGAS  ,14,0,0,0,5,2,5,0,5,0,0,0,0.6,0.000732677,0.182380976
81,1RA AMPLIACION MANACAL  ,38,1,0,0,6,1,0,0,7,0,0.333333333,0,0.25,0.001988696,0.177702341
82,LA CONCEPCION  ,14,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000732677,0.101421626
83,TOQUIAN  ,9,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000471007,0.101342184
84,SAN PEDRO  ,9,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000471007,0.101342184
85,REGALO DE DIOS  ,8,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000418673,0.101326295
86,LA LIBERTAD  ,8,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000418673,0.101326295
87,MORELOS  ,8,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000418673,0.101326295
88,MILAN  ,7,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000366339,0.101310407
89,PALMIRA  ,7,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000366339,0.101310407
90,ESQUIPULAS  ,7,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000366339,0.101310407
91,SAN VICENTE  ,6,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000314005,0.101294518
92,PLATA UNO  ,6,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000314005,0.101294518
93,DOLORES  ,6,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000314005,0.101294518
94,LA PAZ  ,6,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000314005,0.101294518
95,SAN VICENTE  ,5,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000261671,0.10127863
96,LOS ALAMOS  ,5,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000261671,0.10127863
97,SAN ANTONIO IXTAL  ,4,1,0,0,0,0,0,0,2,0,0.333333333,0,0,0.000209336,0.101262741
98,SAN JOSE LAS FLORES  ,4,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000209336,0.101262741
99,SAN JOSE COLON  ,4,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000209336,0.101262741
100,LAS PALMAS  ,3,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000157002,0.101246853
101,LA PLATA TRES  ,2,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000104668,0.101230964
102,QUINTA CASPIROL DE LA MONTANA  ,2,1,0,0,0,0,0,0,1,0,0.333333333,0,0,0.000104668,0.101230964
103,SAN FERNANDO  ,1,1,0,0,0,0,0,0,1,0,0.333333333,0,0,5.23E-05,0.101215076
104,JUAN DE LEON SANTOS  ,1,1,0,0,0,0,0,0,1,0,0.333333333,0,0,5.23E-05,0.101215076
105,BOLIVAR  ,1,1,0,0,0,0,0,0,1,0,0.333333333,0,0,5.23E-05,0.101215076
106,BUENOS AIRES,1,1,0,0,0,0,0,0,1,0,0.333333333,0,0,5.23E-05,0.101215076
