Almacén,Ubicación,Peso_Posicional,Localidades_Asignadas,Lista_de_Localidades
Almacén 1,SALVADOR URBINA (ISHCANALERO),0.415515915,4,"UNION ROJA, CACAHOATAN, EL CARMEN, FAJA DE ORO"
Almacén 2,BUENOS AIRES,0.101215076,0,
